
2022/02/09 (13:54:01) | ===> btop++ v.1.2.0
2022/02/09 (13:54:01) | ERROR: Invalid RGB decimal value: "2"
2022/02/09 (13:55:27) | INFO: Logger set to INFO
2022/02/09 (13:55:28) | INFO: Logger set to DEBUG
2022/02/09 (13:55:29) | INFO: Logger set to INFO
2022/02/09 (13:55:30) | INFO: Logger set to DEBUG

2022/06/03 (19:19:47) | ===> btop++ v.1.2.7
2022/06/03 (19:19:47) | ERROR: Stall in Runner thread, restarting!

2022/06/14 (03:28:03) | ===> btop++ v.1.2.7
2022/06/14 (03:28:03) | ERROR: Stall in Runner thread, restarting!
2022/06/14 (03:28:11) | ERROR: Stall in Runner thread, restarting!

2022/06/14 (05:49:40) | ===> btop++ v.1.2.7
2022/06/14 (05:49:40) | ERROR: Stall in Runner thread, restarting!
2022/06/14 (05:53:48) | ERROR: Stall in Runner thread, restarting!
2022/06/14 (06:01:10) | ERROR: Stall in Runner thread, restarting!
2022/06/14 (06:01:36) | ERROR: Stall in Runner thread, restarting!

2022/08/23 (00:36:59) | ===> btop++ v.1.2.8
2022/08/23 (00:36:59) | ERROR: Stall in Runner thread, restarting!

2022/09/14 (23:30:40) | ===> btop++ v.1.2.9
2022/09/14 (23:30:40) | ERROR: Invalid RGB decimal value: "ba1a84"

2022/09/14 (23:35:12) | ===> btop++ v.1.2.9
2022/09/14 (23:35:12) | ERROR: Invalid RGB decimal value: "ba1a84"

2022/09/21 (21:09:50) | ===> btop++ v.1.2.9
2022/09/21 (21:09:50) | ERROR: Invalid RGB decimal value: "ba1a84"

2022/09/27 (22:51:48) | ===> btop++ v.1.2.9
2022/09/27 (22:51:48) | ERROR: Invalid RGB decimal value: "ba1a84"

2022/10/04 (00:57:47) | ===> btop++ v.1.2.9
2022/10/04 (00:57:47) | ERROR: Stall in Runner thread, restarting!

2023/02/01 (21:28:53) | ===> btop++ v.1.2.13
2023/02/01 (21:28:53) | ERROR: Stall in Runner thread, restarting!

2023/02/04 (23:16:10) | ===> btop++ v.1.2.13
2023/02/04 (23:16:10) | ERROR: Stall in Runner thread, restarting!
2023/02/05 (12:02:08) | WARNING: Failed to join _runner thread on exit!

2023/03/21 (02:12:28) | ===> btop++ v.1.2.13
2023/03/21 (02:12:28) | ERROR: Stall in Runner thread, restarting!
